,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1951,-0.000736168,-0.001471563,-1.551605,263.4536643,273.0465435,0.493261799,43.77051906,13.06600971,54.02249224,65.93260755,251.0604831,263.5926644,183.4076382,155.5301012,9.69245294,13.60925782,76.43802133,0.475002082,0.537644896,0.586047355,81.89940666,86.91445389,0
1952,0.010256316,0.005115066,2.521332,263.8803594,272.7276367,0.501460324,40.13802908,14.16565527,47.8280141,64.6394223,252.4932314,264.155127,186.1190055,158.8555661,9.017858084,12.69097787,77.66959676,0.562499469,0.522079684,0.549920928,80.22498242,85.5765596,0
1953,0.016625016,0.01954474,7.17627,264.5753587,272.4903396,0.73953363,41.88085843,12.89215597,52.92515444,63.80268888,254.2143816,264.9212426,188.8877367,162.2562818,8.51992446,11.85676719,79.55988584,0.921876965,0.653126172,0.570950251,79.70463036,84.40217375,0
1954,-0.01226124,0.008746451,1.163757,265.1442902,272.4854624,0.737120318,39.99111491,12.243051,53.12244088,63.03981402,255.4575926,265.2994531,191.4575846,165.6290857,7.9301851,11.07145077,74.53751382,0.65625095,0.713542462,0.629582773,78.79138841,83.28001668,0
1955,-0.01683185,-0.002947926,-7.758179,265.2994535,272.3997251,0.406439992,37.84959585,16.71930151,38.72223073,61.30284379,256.1575484,265.3964303,193.7969139,168.9329485,7.24221374,10.30560337,68.25920063,0.296874157,0.625000691,0.663889775,76.56537777,81.9370889,1
1956,-0.008151072,-0.01036283,-6.594421,265.3673393,272.2629654,0.164351576,35.54362341,20.89051691,25.96496804,58.77870981,256.5876558,265.4934091,195.9895947,172.1913383,6.556600434,9.555802779,65.42112016,0.188405831,0.380510313,0.573017822,73.27443362,80.20455784,1
1957,0.012569475,-0.008049671,1.163757,265.7035244,271.3176278,0.253561919,34.8336324,20.06175202,26.90914826,56.50231255,257.2908206,265.9298036,198.2184895,175.491161,6.0453046,8.853703143,67.65913687,0.434782561,0.306687516,0.437399507,70.49750557,78.26314739,1
1958,0.009506342,-0.015168345,5.818573,266.0170818,270.8264097,0.462021885,36.89527823,19.42705225,31.01474288,54.68177186,258.1671471,266.2304308,200.4569734,178.8348092,5.651946594,8.213351833,69.29567243,0.623185839,0.415458077,0.367551969,68.62976923,76.33647176,1
1959,0.002180862,-0.000726243,3.10318,266.110824,270.8599136,0.512926327,36.43992901,18.78696279,31.96443914,53.05910524,259.0154251,266.2789171,202.6411404,182.1953653,5.296116994,7.629904866,69.6769857,0.666660829,0.57487641,0.432340668,67.25115836,74.51940908,0
1960,-0.00728835,0.008817257,-1.357636,266.0235451,270.6713924,0.55738081,37.52986979,17.63194994,36.07190616,51.84573388,259.5982049,266.0073823,204.6901067,185.5118793,4.897700668,7.083464026,66.70322052,0.521739489,0.603862052,0.531398846,65.39418098,72.69436346,1
1961,0,0.016968329,-1.939453,265.9104058,270.4070722,0.550323965,35.10852688,17.01051816,34.72436746,50.62277913,260.1254819,265.9007081,206.6718938,188.8310975,4.529556728,6.572682566,66.70322052,0.521739489,0.570046602,0.582928355,63.35673563,70.82683789,1
1962,0.008739852,0.013138706,2.327393,265.8263582,270.1372011,0.68971322,33.43588514,16.20010243,34.72436746,49.4871783,260.8241984,265.8328233,208.6650122,192.216147,4.259492846,6.110044622,68.57011569,0.695648788,0.579709255,0.584539303,62.08731449,69.07893321,1
1963,-0.002904998,0.000727366,1.551544,265.7455421,269.9363003,0.59679782,32.33003544,17.04242603,30.96383886,48.16408262,261.3824802,265.6970537,210.5673448,195.5783504,3.975389505,5.683113599,67.21714029,0.637675186,0.618354488,0.589370115,60.79259304,67.42166518,1
1964,-0.013177064,-0.01463056,-4.266938,265.474009,269.2477432,0.360805239,30.6041169,19.22319099,22.84074012,46.35527245,261.5551076,265.2800554,212.2928439,198.8255818,3.602071576,5.266905194,61.35109103,0.376811276,0.570045083,0.589369609,58.12264783,65.56186171,1
1965,0.047490811,0.040148601,9.309815,265.7035189,270.4456788,1.203475433,37.36377042,16.02327102,39.9731823,45.89940886,262.930428,265.7164491,214.3814711,202.2654296,3.653446803,4.944213516,71.25645447,1,0.671495487,0.619965019,58.74827372,64.19914411,0
1966,-0.003519851,0.03662875,11.831147,266.1851698,272.5622541,1.228671854,37.96935408,14.77887501,43.96446946,45.76119891,264.0824077,266.278914,216.3698233,205.6819036,3.619951961,4.679361205,69.79704494,0.820754476,0.732521917,0.658020829,59.17854821,63.19502493,1
1967,0.013310181,0.041199078,2.715362,266.7831934,274.7286541,1.152983643,35.87508122,13.67227078,44.81129575,45.69334868,265.4756388,266.977147,218.4138073,209.1597963,3.659575799,4.475404124,72.1327617,0.972477029,0.931077168,0.778364857,60.87086547,62.73019304,1
1968,-0.010493377,0.033610699,0.775787,267.3682861,276.392193,1.024613959,34.28536139,12.77918948,45.69505394,45.69347049,266.459102,267.500821,220.2953875,212.5864961,3.560035994,4.292330498,67.68261506,0.81249954,0.868577015,0.8440587,61.47887507,62.47992945,1
1969,0.013966769,0.060754533,0.969757,267.9889363,278.0338312,0.988669619,30.71228509,14.11336041,37.02997355,45.07464928,267.718339,268.2378434,222.2424597,216.0760446,3.554105618,4.144685522,70.3124988,0.940677869,0.908551479,0.902735221,62.7472444,62.53339244,1
